Title,Cuisine,Menu,Weekdays,Sunday,Area,Rating,Reviews,Yelp
'21' Club,American Traditional,True,LD,None,Midtown West,3.5,393,http://www.yelp.com/biz/21-club-new-york
2 West,American New,True,LD,None,Financial District,3.0,41,http://www.yelp.com/biz/2west-new-york
A Voce Columbus,Italian,False,L,None,Upper West Side,3.5,367,http://www.yelp.com/biz/a-voce-new-york-3
A Voce Madison,Italian,True,L,None,NoMad,3.5,246,http://www.yelp.com/biz/a-voce-new-york
Abboccato Italian Kitchen,Italian,True,LD,D,Midtown West,3.5,119,http://www.yelp.com/biz/abboccato-new-york
Acme,American New,True,D,D,NoHo,3.5,256,http://www.yelp.com/biz/acme-new-york
Ai Fiori,Italian,True,L,None,Midtown West,4.0,683,http://www.yelp.com/biz/ai-fiori-new-york
All'onda,Italian,True,D,D,Union Square,4.0,188,http://www.yelp.com/biz/allonda-new-york
Altesi Ristorante,Italian,True,L,None,Upper East Side,4.0,9,http://www.yelp.com/biz/altesi-ristorante-new-york
American Cut,Steakhouse,True,D,None,TriBeCa,4.0,182,http://www.yelp.com/biz/american-cut-new-york
The Americano,French,True,LD,None,Chelsea,4.5,65,http://www.yelp.com/biz/cafe-madeleine-boston-2
Amma Restaurant,Indian,False,LD,D,Midtown East,4.0,311,http://www.yelp.com/biz/amma-new-york
Ammos Estiatorio - Grand Central,Seafood,False,D,None,Midtown East,3.0,118,http://www.yelp.com/biz/ammos-estiatorio-new-york-3
Anassa Taverna,Greek,True,LD,D,Upper East Side,3.5,94,http://www.yelp.com/biz/anassa-taverna-new-york
Andanada,Spanish,True,D,D,Upper West Side,3.5,152,http://www.yelp.com/biz/andanada-new-york-3
Angus Club Steakhouse,Steakhouse,True,LD,D,Midtown East,4.0,76,http://www.yelp.com/biz/angus-club-steakhouse-new-york
Aretsky's Patroon,American New,True,D,None,Midtown East,4.0,110,http://www.yelp.com/biz/aretskys-patroon-new-york
Arlington Club,American New,True,LD,None,Upper East Side,3.0,145,http://www.yelp.com/biz/arlington-club-new-york-2
Armani/Ristorante,Italian,True,D,None,Midtown East,3.5,111,http://www.yelp.com/biz/armani-ristorante-new-york
Artisanal Fromagerie & Bistro,French,True,LD,D,Midtown East,3.5,798,http://www.yelp.com/biz/artisanal-fromagerie-bistro-new-york-3
Asellina,Italian,True,LD,None,NoMad,3.5,250,http://www.yelp.com/biz/asellina-new-york
Asia de Cuba,Asian Fusion,True,LD,None,NoHo,4.0,54,http://www.yelp.com/biz/asia-de-cuba-new-york-2
Atlantic Grill at Lincoln Center,Seafood,True,LD,None,Upper West Side,4.0,314,http://www.yelp.com/biz/atlantic-grill-new-york-3
Atlantic Grill East Side,Seafood,True,LD,None,Upper East Side,3.5,370,http://www.yelp.com/biz/atlantic-grill-new-york-2
Atrio Wine Bar Restaurant,Mediterranean,True,LD,D,Battery Park City,3.0,44,http://www.yelp.com/biz/atrio-wine-bar-restaurant-new-york
Auden Bistro & Bar,American New,True,LD,D,Midtown West,4.0,10,http://www.yelp.com/biz/auden-bistro-and-bar-new-york
Aureole - Liberty Room,American New,True,LD,D,Times Square,4.0,508,http://www.yelp.com/biz/aureole-new-york
Avaton Estiatorio,Greek,True,LD,D,Midtown East,None,None,None
The Back Room at One57,American New,True,LD,D,Midtown West,4.0,38,http://www.yelp.com/biz/the-back-room-new-york-7
Bann,Korean,True,LD,D,Hell's Kitchen,3.5,388,http://www.yelp.com/biz/bann-restaurant-new-york-4
Bar Boulud,French,True,LD,D,Upper West Side,3.5,580,http://www.yelp.com/biz/bar-boulud-new-york
Bar Eolo: Sicilian Kitchen & Wines,Italian,False,LD,D,Chelsea,3.0,117,http://www.yelp.com/biz/bar-eolo-sicilian-kitchen-and-wines-new-york
Bar Italia,Italian,True,LD,None,Upper East Side,3.5,54,http://www.yelp.com/biz/bar-italia-madison-manhattan
